Location,Motor Car,Dual Purpose Vehicle,Lorry,Cycle,Motor Cycle/Moped,Three wheeler,"Articulated Vehicle, prime mover",SLT Bus,Private Bus,Intercity Bus,Land Vehicle/Tractor,Animal drawn vehicle or rider on animal,Other,Total
Ampara ,40,100,104,118,578,143,3,26,40,1,42,0,3,1198
Anuradhapura ,79,164,196,143,691,162,2,33,75,4,39,0,4,1592
Badulla (Badulla & Bandarawela Divisions),88,139,159,14,220,231,4,54,101,2,13,0,1,1026
Batticaloa ,33,85,98,167,518,114,1,26,29,0,35,2,0,1108
Chilaw (Chilaw & Puttalam Divisions),97,202,243,123,548,120,10,23,100,2,21,0,3,1492
"Colombo (Colombo-South, North, Central, Mt. Lavinia & Nugegoda Divisions)",6939,3952,1960,232,3152,2945,143,240,1674,9,52,3,32,21333
Galle (Galle & Elpitiya Divisions),440,431,369,216,1298,508,14,76,277,8,22,0,2,3661
"Gampaha (Gampaha, Negombo & Kelaniya Divisions)",2179,1841,1616,329,2763,1480,156,169,735,9,46,1,6,11330
Jaffna (Jaffna & KKS Divisions),40,113,87,134,367,80,3,23,60,0,25,0,2,934
Kalutara (Kalutara & Panadura Divisions),375,419,367,235,1071,433,22,71,252,17,21,0,0,3283
Kandy (Kandy & Gampola Divisions),655,534,424,21,596,704,11,133,384,1,8,0,4,3475
Kegalle (Kegalle & Seethawaka Divisions),292,358,389,31,430,419,8,107,216,3,9,0,0,2262
Kilinochchi (Kilinochchi & Mankulam Divisions),13,87,129,49,78,25,2,20,57,1,19,0,0,480
"Kurunegala (Kurunegala, Kuliyapitiya & Nikaweratiya Divisions)",384,465,593,195,1502,452,27,100,257,3,60,1,4,4043
Mannar ,6,24,22,16,58,11,0,6,10,0,6,0,0,159
Matale ,98,184,231,55,383,243,6,54,107,0,19,0,3,1383
Matara ,120,161,147,78,495,226,3,34,115,3,18,1,1,1402
Monaragala ,62,130,174,70,413,172,2,16,58,0,39,0,2,1138
Mulathivu ,0,5,3,4,8,1,0,1,6,0,6,0,0,34
Nuwara-Eliya (Nuwara-Eliya & Hatton Divisions),70,146,143,6,103,206,0,35,66,1,9,0,0,785
Polonnaruwa ,43,118,150,79,351,90,0,12,47,0,36,0,0,926
Ratnapura ,167,258,365,52,532,363,7,56,186,1,18,0,0,2005
Tangalle (Tangalle Division),56,151,139,53,364,137,4,36,63,1,29,0,0,1033
Trincomalee (Trincomalee & Kantale Divisions),19,73,96,72,327,142,3,14,39,0,16,1,0,802
Vavuniya ,10,76,80,55,144,48,0,7,22,0,8,0,1,451
Total,12305,10216,8284,2547,16990,9455,431,1372,4976,66,616,9,68,67335
