Location,Motor Car,Dual Purpose Vehicle,Lorry,Cycle,Motor Cycle/Moped,Three wheeler,"Articulated Vehicle, prime mover",SLT Bus,Private Bus,Intercity Bus,Land Vehicle/Tractor,Animal drawn vehicle or rider on animal,Other,Total,accident_percentage,risk
Chilaw (Chilaw & Puttalam Divisions),97,202,243,123,548,120,10,23,100,2,21,0,3,1492,6.993859279051236,0
"Colombo (Colombo-South, North, Central, Mt. Lavinia & Nugegoda Divisions)",6939,3952,1960,232,3152,2945,143,240,1674,9,52,3,32,21333,100.0,2
Galle (Galle & Elpitiya Divisions),440,431,369,216,1298,508,14,76,277,8,22,0,2,3661,17.161205643838183,1
"Gampaha (Gampaha, Negombo & Kelaniya Divisions)",2179,1841,1616,329,2763,1480,156,169,735,9,46,1,6,11330,53.11020484695074,2
Jaffna (Jaffna & KKS Divisions),40,113,87,134,367,80,3,23,60,0,25,0,2,934,4.37819340927202,0
Kalutara (Kalutara & Panadura Divisions),375,419,367,235,1071,433,22,71,252,17,21,0,0,3283,15.389302957858716,1
Kandy (Kandy & Gampola Divisions),655,534,424,21,596,704,11,133,384,1,8,0,4,3475,16.289317020578448,1
Kegalle (Kegalle & Seethawaka Divisions),292,358,389,31,430,419,8,107,216,3,9,0,0,2262,10.603290676416819,0
Kilinochchi (Kilinochchi & Mankulam Divisions),13,87,129,49,78,25,2,20,57,1,19,0,0,480,2.250035156799325,0
"Kurunegala (Kurunegala, Kuliyapitiya & Nikaweratiya Divisions)",384,465,593,195,1502,452,27,100,257,3,60,1,4,4043,18.951858622790983,1
Mannar,6,24,22,16,58,11,0,6,10,0,6,0,0,159,0.7453241456897763,0
Matale,98,184,231,55,383,243,6,54,107,0,19,0,3,1383,6.482913795528056,0
Matara,120,161,147,78,495,226,3,34,115,3,18,1,1,1402,6.571977687151362,0
Monaragala,62,130,174,70,413,172,2,16,58,0,39,0,2,1138,5.334458350911733,0
Mulathivu,0,5,3,4,8,1,0,1,6,0,6,0,0,34,0.15937749027328552,0
Nuwara-Eliya (Nuwara-Eliya & Hatton Divisions),70,146,143,6,103,206,0,35,66,1,9,0,0,785,3.6797449960155624,0
Polonnaruwa,43,118,150,79,351,90,0,12,47,0,36,0,0,926,4.340692823325364,0
Ratnapura,167,258,365,52,532,363,7,56,186,1,18,0,0,2005,9.398584352880514,0
Tangalle (Tangalle Division),56,151,139,53,364,137,4,36,63,1,29,0,0,1033,4.842263160361881,0
Trincomalee (Trincomalee & Kantale Divisions),19,73,96,72,327,142,3,14,39,0,16,1,0,802,3.759433741152206,0
Vavuniya,10,76,80,55,144,48,0,7,22,0,8,0,1,451,2.114095532742699,0
