Location,Motor Car,Dual Purpose Vehicle,Lorry,Cycle,Motor Cycle/Moped,Three wheeler,"Articulated Vehicle, prime mover",SLT Bus,Private Bus,Intercity Bus,Land Vehicle/Tractor,Animal drawn vehicle or rider on animal,Other,Total
Ampara ,59,102,121,93,575,169,4,15,35,1,41,4,0,1219
Anuradhapura ,116,224,246,158,845,196,2,28,104,3,72,0,6,2000
Badulla (Badulla & Bandarawela Divisions),82,121,171,20,266,219,2,58,78,1,16,0,5,1039
Batticaloa ,26,43,30,64,224,52,4,9,25,1,24,1,2,505
Chilaw (Chilaw & Puttalam Divisions),102,213,224,134,530,163,14,23,84,1,19,1,3,1511
"Colombo (Colombo-South, North, Central, Mt. Lavinia & Nugegoda Divisions)",4708,2675,1686,221,2835,2804,110,190,1194,4,59,0,63,16549
Galle (Galle & Elpitiya Divisions),488,377,348,216,1346,586,16,73,224,3,16,0,9,3702
"Gampaha (Gampaha, Negombo & Kelaniya Divisions)",2018,1688,1352,317,2598,1466,175,123,590,9,38,4,6,10384
Jaffna (Jaffna & KKS Divisions),32,64,46,73,213,63,1,8,21,0,28,0,0,549
Kalutara (Kalutara & Panadura Divisions),381,398,337,226,1022,525,15,53,238,4,15,0,6,3220
Kandy (Kandy & Gampola Divisions),735,637,526,29,746,895,4,148,403,4,10,1,18,4156
Kegalle (Kegalle & Seethawaka Divisions),281,323,357,23,500,545,11,82,224,1,15,0,12,2374
Kilinochchi (Kilinochchi & Mankulam Divisions),5,74,93,30,120,15,3,21,42,0,10,0,1,414
"Kurunegala (Kurunegala, Kuliyapitiya & Nikaweratiya Divisions)",333,428,522,193,1349,433,16,97,218,4,35,0,17,3645
Mannar ,12,35,26,18,71,35,0,1,8,0,7,0,0,213
Matale ,118,192,246,68,384,306,8,50,110,3,15,0,7,1507
Matara ,138,200,163,107,593,297,0,26,131,2,13,0,1,1671
Monaragala ,64,104,162,58,389,197,1,21,47,0,27,0,2,1072
Mulathivu ,1,6,2,9,5,0,0,0,3,0,1,0,0,27
Nuwara-Eliya (Nuwara-Eliya & Hatton Divisions),80,136,130,12,89,247,4,32,83,1,6,0,14,834
Polonnaruwa ,36,92,136,63,348,95,1,18,31,1,36,0,0,857
Ratnapura ,182,234,321,42,553,443,9,38,155,2,8,0,0,1987
Tangalle (Tangalle Division),59,236,148,66,480,110,11,34,70,0,36,0,2,1252
Trincomalee (Trincomalee & Kantale Divisions),23,72,78,63,286,129,2,12,30,0,27,3,4,729
Vavuniya ,4,15,32,26,66,20,0,3,3,0,2,0,0,171
Total,10083,8689,7503,2329,16433,10010,413,1163,4151,45,576,14,178,61587
